source_id,niveau,montant,unite,ordre,cible,flag_chiffre_independant_des_benefs,exception,cible_si_independant,flag_optionel,min,max,flag_cible_multiple,flag_delegation
317747,1,5,%,1,réserve,0,,,0,,,0,0
317747,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
317747,2,10,%,3,conseil d’administration,0,,,0,,,0,0
317747,3,50,%,4,actions ordinaires,0,,,0,,,0,0
317747,3,50,%,5,fondateur,0,,,0,,,0,0
317762,1,10,%,1,réserve légale,0,,,0,,,0,0
317762,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
317762,2,15,%,3,conseil d’administration,0,,,0,,,0,0
317762,2,25,%,4,parts bénéficiaires,0,,,0,,,0,0
317778,1,5,%,1,réserve légale,0,,,0,,,0,0
317778,1,10,%,2,intérêt aux actions,1,,,0,,,0,0
317778,3,50,%,3,actions,0,,,0,,,0,0
317778,3,50,%,4,parts,0,,,0,,,0,0
317796,1,5,%,1,réserve légale,0,,,0,,,0,0
317796,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
317796,2,75,%,3,actions,0,,,0,,,0,0
317796,2,9,%,4,conseil d’administration,0,,,0,,,0,0
317796,2,16,%,5,parts de fondateur,0,,,0,,,0,0
317813,1,5,%,1,réserve,0,,,0,,,0,0
317813,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
317813,2,1,%,3,chaque membre du conseil,0,,,0,,,1,0
317813,2,13,%,4,chaque commissaire,0,sauf affectation de tout ou partie à la dotation d’un fonds de prévision ou de réserve extraordinaire,True,0,,,0,0
317827,1,5,%,1,intérêt aux actions,1,,,0,,,0,0
317827,2,8,%,2,directeur,0,,,0,,,0,0
317827,2,5,%,3,conseil d’administration,0,,,0,,,0,0
317827,2,5,%,4,personnel,0,,,0,,,0,0
317843,1,5,%,1,réserve légale,0,,,0,,,0,0
317843,1,4,%,2,intérêt aux actions,1,,,0,,,0,0
317843,2,10,%,3,conseil,0,,,0,,,0,0
317843,3,50,%,4,actions,0,,,0,,,0,0
317843,3,50,%,5,parts,0,,,0,,,0,0
317865,1,5,%,1,réserve,0,,,0,,,0,0
317865,1,6,%,2,intérêt aux actions privilégiées,1,,,0,,,0,0
317865,2,25,%,3,actions privilégiées,0,,,0,,,0,0
317865,3,9,%,4,conseil d’administration,0,,,0,,,0,0
317865,3,1,%,5,directeur,0,,,0,,,0,0
317865,3,30,%,6,actions de jouissance,0,,,0,,,0,0
317865,3,60,%,7,actions de capital,0,,,0,,,0,0
317891,1,5,%,1,réserve légale,0,,,0,,,0,0
317891,1,25,Francs,2,intérêt aux actions,1,,,0,,,0,0
317891,1,10,%,3,conseil d’administration,0,,,0,,,0,0
317907,1,5,%,1,réserve légale,0,,,0,,,0,0
317907,1,6,%,2,intérêt aux actions,1,,,0,,,0,0
317907,2,25,%,3,conseil d’administration,0,,,0,,,0,0
317907,2,75,%,4,actions,0,,,0,,,0,0
317920,1,5,%,1,réserve légale,0,,,0,,,0,0
317920,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
317920,1,10,%,3,conseil d’administration,0,,,0,,,0,0
317920,2,67,%,4,actions,0,,,0,,,0,0
317920,2,33,%,5,parts de fondateur,0,,,0,,,0,0
317936,1,5,%,1,réserve légale,0,,,0,,,0,0
317936,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
317936,2,30,%,3,fonds de réserve extraordinaire ou de prévoyance ,0,,,0,,,0,0
317936,2,5,%,4,administrateurs,0,,,0,,,0,0
317936,3,40,%,5,parts de fondateur,0,,,0,,,0,0
317936,3,60,%,6,actions,0,,,0,,,0,0
317953,1,10,%,1,réserve légale,0,,,0,,,0,0
317953,1,5,%,2,actions privilégiées,1,,,0,,,0,0
317953,1,5,%,3,intérêt aux actions,1,,,0,,,0,0
317953,2,7,%,4,conseil d’administration,0,,,0,,,0,0
317953,2,92,%,5,actions,0,,,0,,,0,0
317970,1,5,%,1,réserve légale,0,,,0,,,0,0
317970,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
317970,2,10,%,3,conseil d’administration,0,,,0,,,0,0
317970,2,90,%,4,actions,0,,,0,,,0,0
317991,1,5,%,1,réserve légale,0,,,0,,,0,0
317991,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
317991,2,5,%,3,conseil d’administration,0,,,0,,,0,0
317991,2,10,%,4,direction,0,,,0,,,0,0
317991,2,85,%,5,l’assemblée,0,,,0,,,0,0
318005,1,7,%,1,actions preferred,0,,,0,,,0,0
318005,1,10,%,2,fonds de réserve,0,,,0,,,0,0
318005,1,1,%,3,chaque administrateur,0,,,0,,,1,0
318005,1,1,%,4,président,0,,,0,,,0,0
318005,2,7,%,5,actions preferred,0,,,0,,,0,0
318019,1,5,%,1,réserve légale,0,,,0,,,0,0
318019,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
318019,2,90,%,3,actions,0,,,0,,,0,0
318019,2,10,%,4,conseil d’administration,0,,,0,,,0,0
318034,1,5,%,1,réserve légale,0,,,0,,,0,0
318034,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
318034,2,5,%,3,conseil d’administration,0,,,0,,,0,0
318034,2,5,%,4,fonds de prévoyance,0,,,0,,,0,0
318034,2,90,%,5,actions,0,,,0,,,0,0
318052,1,5,%,1,réserve légale,0,,,0,,,0,0
318052,1,5,%,2,actions,1,,,0,,,0,0
